Id,Source,Translation,Comment
JWK-Action-AbandonOwnership,Abandon ownership,Vzdát se vlastnictví,
JWK-Action-ClaimOwnership,Claim ownership,Nárok na vlastnictví,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,Sbírat psí známky,
JWK-Action-Disassembly,Disassemble,Demontáž,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,Upravit značku,
JWK-Action-EpinephrineInject,Inject epinephrine,Injekce adrenalinu,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-Lock,Lock,Zámek,
JWK-Action-LockVehicle,Lock vehicle,Uzamčení vozidla,
JWK-Action-Locked,Locked,Uzamčené stránky,
JWK-Action-ManagePlayerGarage,Manage garage,Správa garáže,
JWK-Action-PickLock,Pick lock,,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,Odpočinek,
JWK-Action-Recruit,Recruit,Nábor,
JWK-Action-RequiresLockpick,Requires lockpick.,,
JWK-Action-Shop,Shop,Obchod,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,Zastavte,
JWK-Action-TakeBus,Take bus,Jízda autobusem,
JWK-Action-TakeCommand,Take command,Převezměte velení,
JWK-Action-TakeFerry,Take ferry,Přeprava trajektem,
JWK-Action-Talk,Talk,Diskuse,
JWK-Action-Trade,Trade,Obchod,
JWK-Action-Unlock,Unlock,Odemknutí stránky,
JWK-Action-UnlockVehicle,Unlock vehicle,Odemknutí vozidla,
JWK-Action-UsePhone,Use phone,Použijte telefon,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Nedostatek peněz.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Dosažení velitelského limitu.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Vyčistěte blízká tělesa,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Vymazat položky v okolí,
JWK-AdminUI-ForceSaveGame,Force save game,Vynucení uložení hry,
JWK-AdminUI-OpenSettings,Open settings,Otevřít nastavení,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),,
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),,
JWK-AdminUI-Title,Admin menu,Nabídka správce,
JWK-AdminUI-WipeSaveData,Wipe save data,Vymazání uložených dat,
JWK-Arland-Airport,Airport,Letiště,
JWK-Arland-NewfieldFarm,Newfield Farm,Farma Newfield,
JWK-BankUI-Amount,Amount,Částka,
JWK-BankUI-MoneyTransfer,Money transfer,Převod peněz,
JWK-BankUI-Perform,Perform,Proveďte,
JWK-BankUI-Recipient,Receiver,Přijímač,
JWK-BankUI-YourMoney,Your money,Vaše peníze,
JWK-BattleFallbackTitle,Battle,Bitva,
JWK-BattlePlayerLosing,Resistance is losing control...,Odpor ztrácí kontrolu...,
JWK-BattleProgress,Battle in progress...,Probíhající bitva...,
JWK-BrokenSave-Text,"Save game data incompatible with this version of the mod has been detected. Please start a new campaign or revert the update to continue playing.<br/><br/>Use the ""<b>Restart</b>"" option in the pause menu or the ""<b>Wipe save data</b>"" in the admin menu to restart.",,
JWK-BuildItem-ArmoryFOB,Field armory,Polní zbrojnice,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Nakupujte zbraně a munici.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Umožňuje přístup ke zbraním a munici patřící odboji. Předměty se nakupují ze zásob.,
JWK-BuildItem-ArmoryMOB,Allied armory,Spojenecká zbrojnice,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Nakupujte zbraně a munici.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,Umožňuje přístup ke zbraním a munici poskytovaným spojeneckou frakcí. Předměty se nakupují za zásoby.,
JWK-BuildItem-Bunker,Bunker,Bunker,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Útulné místo pro vaše hlídky.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Umístěte ji na dobré pozorovací místo.,
JWK-BuildItem-CommandPost,Command post,Velitelské stanoviště,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Mít na místě policistu.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Získat přístup k přítomnosti příslušníka odboje na místě.,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Obchod s vybavením,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Nákup oblečení a vybavení.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,Umožňuje přístup k uniformám a dalšímu vybavení příslušníků odboje. Předměty se nakupují ze zásob.,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Obchod s vybavením,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Nákup oblečení a vybavení.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,Umožňuje přístup k uniformám a dalšímu vybavení poskytovanému spojeneckou frakcí. Předměty se nakupují za zásoby.,
JWK-BuildItem-FieldGarageMedium,Medium Garage,Střední garáž,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,Uložení 2 vozidel.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.","Umožňuje přiřadit dvě pozemní vozidla, aby se neztratila, a načíst je z větší vzdálenosti.",
JWK-BuildItem-FieldGarageSmall,Small Garage,Malá garáž,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,Uložit 1 vozidlo.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.","Umožňuje přiřadit jedno pozemní vozidlo, aby se zabránilo jeho ztrátě, a umožňuje jeho vyzvednutí z větší vzdálenosti.",
