Id,Source,Translation,Comment
JWK-Action-AbandonOwnership,Abandon ownership,Verzicht auf Eigentum,
JWK-Action-ClaimOwnership,Claim ownership,Eigentum beanspruchen,
JWK-Action-CollectDogtag,Collect dogtag,Hundemarke sammeln,
JWK-Action-Disassembly,Disassemble,Demontieren Sie,
JWK-Action-EditSign,Edit sign,Zeichen bearbeiten,
JWK-Action-EpinephrineInject,Inject epinephrine,Epinephrin injizieren,
JWK-Action-Lock,Lock,Schloss,
JWK-Action-LockVehicle,Lock vehicle,Fahrzeug sperren,
JWK-Action-Locked,Locked,Abgeschlossen,
JWK-Action-ManagePlayerGarage,Manage garage,Garage verwalten,
JWK-Action-PickLock,Pick lock,,
JWK-Action-PlayerRest,Rest,Rest,
JWK-Action-Recruit,Recruit,Rekrutieren,
JWK-Action-RequiresLockpick,Requires lockpick.,,
JWK-Action-Shop,Shop,Shop,
JWK-Action-StopCharacter,Stop,Stopp,
JWK-Action-TakeBus,Take bus,Bus nehmen,
JWK-Action-TakeCommand,Take command,Das Kommando übernehmen,
JWK-Action-TakeFerry,Take ferry,Fähre nehmen,
JWK-Action-Talk,Talk,Gespräch,
JWK-Action-Trade,Trade,Handel,
JWK-Action-Unlock,Unlock,freischalten,
JWK-Action-UnlockVehicle,Unlock vehicle,Fahrzeug entriegeln,
JWK-Action-UsePhone,Use phone,Telefon benutzen,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Nicht genug Geld.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Kommandogrenze erreicht.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Nahegelegene Stellen räumen,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Nahegelegene Objekte löschen,
JWK-AdminUI-ForceSaveGame,Force save game,Speichern des Spiels erzwingen,
JWK-AdminUI-OpenSettings,Open settings,Einstellungen öffnen,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),,
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),,
JWK-AdminUI-Title,Admin menu,Menü Verwaltung,
JWK-AdminUI-WipeSaveData,Wipe save data,Speichern von Daten löschen,
JWK-Arland-Airport,Airport,Flughafen,
JWK-Arland-NewfieldFarm,Newfield Farm,Newfield Farm,
JWK-BankUI-Amount,Amount,Betrag,
JWK-BankUI-MoneyTransfer,Money transfer,Überweisung,
JWK-BankUI-Perform,Perform,Durchführen,
JWK-BankUI-Recipient,Receiver,Empfänger,
JWK-BankUI-YourMoney,Your money,Ihr Geld,
JWK-BattleFallbackTitle,Battle,Schlacht,
JWK-BattlePlayerLosing,Resistance is losing control...,Der Widerstand verliert die Kontrolle...,
JWK-BattleProgress,Battle in progress...,Schlacht im Gange...,
JWK-BuildItem-ArmoryFOB,Field armory,Feld-Waffenkammer,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Kaufen Sie Waffen und Munition.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,"Ermöglicht den Zugang zu Waffen und Munition, die dem Widerstand gehören. Die Gegenstände werden mit Vorräten gekauft.",
JWK-BuildItem-ArmoryMOB,Allied armory,Alliierte Waffenkammer,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Kaufen Sie Waffen und Munition.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,"Ermöglicht den Zugang zu Waffen und Munition, die von der verbündeten Fraktion bereitgestellt werden. Gegenstände werden mit Vorräten gekauft.",
JWK-BuildItem-Bunker,Bunker,Bunker,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Gemütlicher Ort für Ihre Wachen.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Stellen Sie ihn an einen guten Beobachtungsplatz.,
JWK-BuildItem-CommandPost,Command post,Gefechtsstand,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Einen Beamten vor Ort haben.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Zugang zur Anwesenheit eines Widerstandsbeamten vor Ort erhalten.,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Ausrüstungsgeschäft,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Kaufen Sie Kleidung und Ausrüstung.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,"Ermöglicht den Zugang zu Uniformen und anderen Ausrüstungsgegenständen, die dem Widerstand gehören. Die Gegenstände werden mit Vorräten gekauft.",
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Ausrüstungsgeschäft,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Kaufen Sie Kleidung und Ausrüstung.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,"Ermöglicht den Zugang zu Uniformen und anderen Ausrüstungsgegenständen, die von der verbündeten Fraktion bereitgestellt werden. Die Gegenstände werden mit Vorräten gekauft.",
JWK-BuildItem-FieldGarageMedium,Medium Garage,Mittlere Garage,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,Speichern Sie 2 Fahrzeuge.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.","Ermöglicht die Zuweisung von zwei Bodenfahrzeugen, um zu verhindern, dass sie verloren gehen, und um sie aus großer Entfernung wiederzufinden.",
JWK-BuildItem-FieldGarageSmall,Small Garage,Kleine Garage,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,Speichern Sie 1 Fahrzeug.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.","Ermöglicht die Zuweisung eines einzelnen Bodenfahrzeugs, um zu verhindern, dass es verloren geht, und um es aus großer Entfernung wiederzufinden.",
JWK-BuildItem-FiringPosition,Firing position,Feuerstellung,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Bereiten Sie sich auf ungebetene Gäste vor.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Grundlegende Zusammensetzung der Verteidigung.,
JWK-BuildItem-FuelPoint,Fuel point,Tankstelle,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Fahrzeuge auftanken.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,Ermöglicht das Betanken von Bodenfahrzeugen.,
JWK-BuildItem-GuardTower,Guard tower,Wachturm,
JWK-BuildItem-GuardTower_Description,Get a better view.,Verschaffen Sie sich einen besseren Überblick.,
JWK-BuildItem-Helipad,Helipad,Hubschrauberlandeplatz,
JWK-BuildItem-HelipadRepair,Service Helipad,Service-Hubschrauberlandeplatz,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Reparatur von Hubschraubern.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,Der Service-Hubschrauberlandeplatz erlaubt die Zuweisung eines einzelnen Hubschraubers und ermöglicht die Betankung und Reparatur von Hubschraubern. Kann nur in Luftwaffenstützpunkten errichtet werden.,
JWK-BuildItem-Helipad_Description,Store single helicopter.,Einzelne Hubschrauber aufbewahren.,
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.","Der Hubschrauberlandeplatz ermöglicht die Zuweisung eines einzelnen Hubschraubers, was ihn vor Verlust schützt und das Abholen aus großer Entfernung ermöglicht. Basisversion ohne Betankungs- und Reparaturmöglichkeiten.",
JWK-BuildItem-LivingArea,Living area,Wohnbereich,
JWK-BuildItem-LivingArea_Description,Shelter recruits.,Tierheim-Rekruten.,
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,"Bietet Lebensraum für ein paar Soldaten, die rekrutiert werden können.",
JWK-BuildItem-MedicalTent,Medical tent,Medizinisches Zelt,
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,Wunden heilen und schneller genesen.,
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,Das Sanitätszelt verbessert die Regeneration von Verletzungen und ermöglicht den Kauf von medizinischen Gütern mit Hilfe von Vorräten.,
JWK-BuildItem-Mortar,Mortar,Mörtel,
JWK-BuildItem-Mortar_Description,Send a message over long distance.,Senden Sie eine Nachricht über eine Fernverbindung.,
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,Vollständige Mörserstellung. Projektile können mit Vorräten gekauft werden.,
JWK-BuildItem-StorageSmall,Small supplies storage,Lagerung von Kleinmaterial,
JWK-BuildItem-StorageSmall-Description,Store 900 supplies.,900 Vorräte lagern.,
JWK-BuildItem-StorageSmall-DescriptionLong,Allows to store 900 supplies. First one can be constructed for free.,Ermöglicht die Lagerung von 900 Vorräten. Das erste Exemplar kann kostenlos gebaut werden.,
JWK-BuildItem-VehicleRamp,Vehicle maintenance ramp,Wartungsrampe für Fahrzeuge,
JWK-BuildItem-VehicleRamp_Description,Repair vehicles.,Fahrzeuge reparieren.,
JWK-BuildItem-VehicleRamp_DescriptionLong,,,
JWK-BuildUI-Cost,Cost:,Kosten:,
JWK-BuildUI-Title,Build,Bauen Sie,
JWK-CTA-ConstructionMenu,Construction menu,Menü Konstruktion,
JWK-CTA-HideoutResupply,Resupply hideout,Versteck für Nachschub,
JWK-CTA-ManageVehicles,Manage vehicles,Fahrzeuge verwalten,
JWK-CTA-OpenMenu,Freedom Fighters,Freiheitskämpfer,
JWK-CTA-ParkVehicle,Park vehicle,Fahrzeug parken,
JWK-CTA-Radio,Use radio,Radio benutzen,
JWK-CTA-TimeToWithstand,Withstand in...,Widerstandsfähig in...,
JWK-CTA-TownDonateSupplies,Donate supplies to civilians,Spenden von Hilfsgütern für Zivilisten,
JWK-CharacterMenu,Character Menu,Menü Charakter,
JWK-CharacterUI-Age,Age,Alter,
JWK-CharacterUI-Birthday,Birthday,Geburtstag,
JWK-CharacterUI-Birthplace,Birthplace,Geburtsort,
JWK-CharacterUI-BloodType,Blood type,Blutgruppe,
JWK-CharacterUI-CharacterWanted,Wanted dead or alive.,,
JWK-CharacterUI-Title,Profile,Profil,
JWK-CharacterUI-VehicleWanted,Uses a wanted vehicle.,,
JWK-ConsoleUI-BackToMenu,Back to menu,Zurück zum Menü,
JWK-ConsoleUI-Text,"Due to missing modding features, the single player and local hosting experience is unavailable on console systems. We suggest setting up a private dedicated server or joining a public one.","Aufgrund der fehlenden Modding-Funktionen ist das Einzelspieler- und lokale Hosting-Erlebnis auf Konsolensystemen nicht verfügbar. Wir empfehlen, einen privaten dedizierten Server einzurichten oder einem öffentlichen Server beizutreten.",
JWK-ConsoleUI-Title,Unavailable on consoles,Auf Konsolen nicht verfügbar,
JWK-ConvoAction-Convert,Convince to support,Überzeugen Sie zur Unterstützung,
JWK-ConvoAction-Extort,Extort money,Geld erpressen,
JWK-ConvoChoice-AskHideoutLocation,Ask for a meeting,Bitten Sie um ein Treffen,
JWK-ConvoChoice-AskJob,Ask for a job,Bitte um einen Job,
JWK-ConvoChoice-Confirm,Confirm,Bestätigen Sie,
JWK-ConvoChoice-GetPoster,Ask for posters,Fragen Sie nach Postern,
JWK-ConvoChoice-ReportBack,Report back,Rückmeldung,
JWK-ConvoChoice-ReportResistance,Report resistance activity,Widerstandsaktivität melden,
JWK-ConvoChoice-RequestReinforcements,Reinforcements,Verstärkung,
JWK-ConvoChoice-RequestSupport,Request support,Unterstützung anfordern,
JWK-ConvoChoice-Trade,Trade,Handel,
JWK-ConvoChoice-TurnDogtags,Turn in dogtags,Hundemarken abgeben,
JWK-DialogUI-DestructionResetInfo-Message,"Restored objects may collide with constructions or vehicles left in place of destroyed objects, causing undesired effects. This is an experimental feature and it is recommended to back up your save.<br/><br/>Once you confirm this action, you have to force save and restart the server for the changes to take effect.",,
JWK-DialogUI-DestructionResetInfo-Title,Destruction reset,,
JWK-DialogUI-OnlineForceSave-Message,"Forced save will perform entire save in a single operation, which may block the server on large maps and with a lot of data. This may cause remote players, including you, to lose connection. This does not affect the save operation itself.","Erzwungenes Speichern führt das gesamte Speichern in einem einzigen Vorgang durch, was den Server bei großen Karten und vielen Daten blockieren kann. Dies kann dazu führen, dass andere Spieler, einschließlich Ihnen, die Verbindung verlieren. Dies hat keinen Einfluss auf den Speichervorgang selbst.",
JWK-DialogUI-OnlineForceSave-Title,Online session warning,Warnung vor Online-Sitzungen,
JWK-DialogUI-OnlineReset-Message,"Are you sure to wipe the campaign save data? After proceeding the scenario will automatically restart.<br/><br/><b><color rgba='255,0,0,255'>WARNING: THIS OPERATION CANNOT BE REVERTED. YOU WILL LOSE ALL PROGRESS.</color></b>","Sind Sie sicher, dass die Speicherdaten der Kampagne gelöscht werden sollen? Wenn Sie fortfahren, wird das Szenario automatisch neu gestartet.<br/><br/><b><color rgba='255,0,0,255'>WARNUNG: DIESER VORGANG KANN NICHT WIEDERHOLT WERDEN. SIE WERDEN ALLE FORTSCHRITTE VERLOREN.</color></b>",
JWK-DialogUI-OnlineReset-Title,Wipe warning,Wisch-Warnung,
JWK-DifficultyPreset-Custom,Custom,Benutzerdefiniert,
JWK-DifficultyPreset-Easy,Easy,Einfach,
JWK-DifficultyPreset-Extreme,Extreme,Extrem,
JWK-DifficultyPreset-Hard,Hard,Hart,
JWK-DifficultyPreset-Normal,Normal,Normal,
JWK-Dogtag_Description,Used to identify dead bodies found on the battlefield.,Dient zur Identifizierung von Leichen auf dem Schlachtfeld.,
JWK-Dogtag_Name_Dynamic,%1 dogtags,%1 dogtags,
JWK-Dogtag_Name_Universal,Dogtags,Hundemarken,
JWK-EHint-ClothesBloodied,Your clothes are bloodied. Wearing them breaks your disguise and makes you attract enemy attention. You should change your clothes or go for a swim.,"Deine Kleidung ist blutig. Wenn du sie trägst, ist deine Tarnung hinfällig und der Feind wird auf dich aufmerksam. Du solltest deine Kleidung wechseln oder schwimmen gehen.",
JWK-EHint-ClothesCleaned,Your clothes have been cleaned. Wearing them will not make you suspicious anymore.,"Ihre Kleidung ist gereinigt worden. Wenn Sie sie tragen, machen Sie sich nicht mehr verdächtig.",
