Id,Source,Translation,Comment
JWK-Action-AbandonOwnership,Abandon ownership,Ceder titularidad,
JWK-Action-ClaimOwnership,Claim ownership,Tomar posesión,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,Recoger placa de identificación,
JWK-Action-Disassembly,Disassemble,Desmontar,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,Editar cartel,
JWK-Action-EpinephrineInject,Inject epinephrine,Inyectar epinefrina,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-Lock,Lock,Bloquear,
JWK-Action-LockVehicle,Lock vehicle,Bloquear vehículo,
JWK-Action-Locked,Locked,Bloqueado,
JWK-Action-ManagePlayerGarage,Manage garage,Gestionar el garaje,
JWK-Action-PickLock,Pick lock,Forzar cerradura,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,Descansar,
JWK-Action-Recruit,Recruit,Reclutar,
JWK-Action-RequiresLockpick,Requires lockpick.,Necesita ganzúa,
JWK-Action-Shop,Shop,Comprar,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,Parar,
JWK-Action-TakeBus,Take bus,Subir al autobús,
JWK-Action-TakeCommand,Take command,Asumir el mando,
JWK-Action-TakeFerry,Take ferry,Subir al ferry,
JWK-Action-Talk,Talk,Hablar,
JWK-Action-Trade,Trade,Comerciar,
JWK-Action-Unlock,Unlock,Desbloquear,
JWK-Action-UnlockVehicle,Unlock vehicle,Desbloquear vehículo,
JWK-Action-UsePhone,Use phone,Usar teléfono,
JWK-ActionReason-NotEnoughMoney,Not enough money.,No hay suficiente dinero.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Límite de mando alcanzado.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Eliminar los cuerpos cercanos,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Eliminar objetos cercanos,
JWK-AdminUI-ForceSaveGame,Force save game,Forzar guardado,
JWK-AdminUI-OpenSettings,Open settings,Abrir ajustes,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Deshacer destrucción (Global),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Deshacer destrucción (cercano),
JWK-AdminUI-Title,Admin menu,Menú de administración,
JWK-AdminUI-WipeSaveData,Wipe save data,Borrar datos guardados,
JWK-Arland-Airport,Airport,Aeropuerto,
JWK-Arland-NewfieldFarm,Newfield Farm,Granja Newfield,
JWK-BankUI-Amount,Amount,Importe,
JWK-BankUI-MoneyTransfer,Money transfer,Transferencia de dinero,
JWK-BankUI-Perform,Perform,Enviar,
JWK-BankUI-Recipient,Receiver,Receptor,
JWK-BankUI-YourMoney,Your money,Su dinero,
JWK-BattleFallbackTitle,Battle,Batalla,
JWK-BattlePlayerLosing,Resistance is losing control...,La resistencia está perdiendo el control...,
JWK-BattleProgress,Battle in progress...,Batalla en curso...,
JWK-BrokenSave-Text,"Save game data incompatible with this version of the mod has been detected. Please start a new campaign or revert the update to continue playing.<br/><br/>Use the ""<b>Restart</b>"" option in the pause menu or the ""<b>Wipe save data</b>"" in the admin menu to restart.","Se han detectado datos de partidas guardadas incompatibles con esta versión del mod. Por favor, inicia una nueva campaña o revierte la actualización para continuar jugando.<br/><br/>Utiliza la opción ""<b>Reiniciar</b>"" en el menú de pausa o la opción ""<b>Borrar datos guardados</b>"" en el menú de administración para reiniciar.",
JWK-BuildItem-ArmoryFOB,Field armory,Arsenal de campaña,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Compra armas y munición.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Da acceso a armas y municiones pertenecientes a la resistencia. Los objetos se compran usando suministros.,
JWK-BuildItem-ArmoryMOB,Allied armory,Arsenal aliado,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Compra armas y munición.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,Da acceso a armas y municiones proporcionadas por la facción aliada. Los objetos se compran con suministros.,
JWK-BuildItem-Bunker,Bunker,Bunker,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Un lugar acogedor para tus centinelas.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Colócalo en un buen lugar de observación.,
JWK-BuildItem-CommandPost,Command post,Puesto de mando,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Disponer de un oficial en la base.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Disponer de un oficial de la resistencia en la base.,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Tienda de equipación,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Comprar ropa y equipamiento.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,Da acceso a uniformes y otros equipos pertenecientes a la resistencia. Los artículos se compran utilizando suministros.,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Tienda de equipación,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Comprar ropa y equipamiento.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,Da acceso a uniformes y otro equipamiento proporcionado por la facción aliada. Los objetos se compran con suministros.,
JWK-BuildItem-FieldGarageMedium,Medium Garage,Garaje mediano,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,Aparca hasta 2 vehículos.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.",Permite asignar dos vehículos terrestres para evitar que se pierdan y permite recuperarlos desde lejos.,
JWK-BuildItem-FieldGarageSmall,Small Garage,Garaje pequeño,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,Aparca 1 vehículo.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.",Permite asignar un único vehículo terrestre para evitar que se pierda y permite recuperarlo desde lejos.,
JWK-BuildItem-FiringPosition,Firing position,Posición de disparo,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Prepárese para recibir invitados no deseados.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Posición defensiva básica.,
JWK-BuildItem-FuelPoint,Fuel point,Punto de repostaje,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Repostar vehículos.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,Permite repostar vehículos terrestres.,
JWK-BuildItem-GuardTower,Guard tower,Torre de vigilancia,
JWK-BuildItem-GuardTower_Description,Get a better view.,Consigue una vista mejor.,
JWK-BuildItem-Helipad,Helipad,Helipuerto,
JWK-BuildItem-HelipadRepair,Service Helipad,Helipuerto de reparaciones,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Reparación de helicópteros.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,El helipuerto de reparaciones permite asignar un solo helicóptero y permite repostar y reparar helicópteros. Sólo puede construirse en bases aéreas.,
JWK-BuildItem-Helipad_Description,Store single helicopter.,Almacena 1 helicóptero.,
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.","Helipuerto permite asignar un solo helicóptero, lo que impide que se pierda y permite recuperarlo desde lejos. Versión básica sin capacidad de reabastecimiento ni reparación.",
JWK-BuildItem-LivingArea,Living area,Barracones,
JWK-BuildItem-LivingArea_Description,Shelter recruits.,Aloja reclutas.,
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,Proporciona espacio vital a algunos soldados que pueden ser reclutados.,
JWK-BuildItem-MedicalTent,Medical tent,Tienda médica,
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,Cura las heridas y recupérate más rápido.,
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,La tienda médica mejora la regeneración de las heridas y permite comprar productos médicos utilizando suministros.,
JWK-BuildItem-Mortar,Mortar,Mortero,
JWK-BuildItem-Mortar_Description,Send a message over long distance.,Enviar un mensaje a larga distancia.,
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,Emplazamiento de mortero completo. Los proyectiles se pueden comprar con suministros.,
JWK-BuildItem-StorageSmall,Small supplies storage,Pequeño almacén de suministros,
