Id,Source,Translation,Comment
JWK-Action-AbandonOwnership,Abandon ownership,Abandonner la propriété,
JWK-Action-ClaimOwnership,Claim ownership,Réclamer la propriété,
JWK-Action-CollectDogtag,Collect dogtag,Collectionner la plaque d'identification du soldat,
JWK-Action-Disassembly,Disassemble,Démonter,
JWK-Action-EditSign,Edit sign,Modifier le signe,
JWK-Action-EpinephrineInject,Inject epinephrine,Injection d'épinéphrine,
JWK-Action-Lock,Lock,Verrouiller,
JWK-Action-LockVehicle,Lock vehicle,Verrouiller le véhicule,
JWK-Action-Locked,Locked,Verrouillé,
JWK-Action-ManagePlayerGarage,Manage garage,Gérer le garage,
JWK-Action-PickLock,Pick lock,Crocheter la serrure,
JWK-Action-PlayerRest,Se reposer,Reposer,
JWK-Action-Recruit,Recruit,Recruter,
JWK-Action-RequiresLockpick,Requires lockpick.,Nécessite un kit de crochetage.,
JWK-Action-Shop,Shop,Boutique,
JWK-Action-StopCharacter,Stop,Arrêter,
JWK-Action-TakeBus,Take bus,Prendre le bus,
JWK-Action-TakeCommand,Take command,Prendre contrôle,
JWK-Action-TakeFerry,Take ferry,Prendre le traversier,
JWK-Action-Talk,Talk,Parler,
JWK-Action-Trade,Trade,Commerce,
JWK-Action-Unlock,Unlock,Déverrouiller,
JWK-Action-UnlockVehicle,Unlock vehicle,Déverrouiller le véhicule,
JWK-Action-UsePhone,Use phone,Utiliser le téléphone,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Pas assez d'argent.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Limite de commandement atteinte.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Supprimer les corps proches,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Supprimer les éléments proches,
JWK-AdminUI-ForceSaveGame,Force save game,Forcer la sauvegarde du jeu,
JWK-AdminUI-OpenSettings,Open settings,Ouvrir les paramètres,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Réinitialiser la destruction (globale),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Réinitialiser la destruction (à proximité),
JWK-AdminUI-Title,Admin menu,Menu administrateur,
JWK-AdminUI-WipeSaveData,Wipe save data,Effacer les données sauvegardées,
JWK-Arland-Airport,Airport,Aéroport,
JWK-Arland-NewfieldFarm,Newfield Farm,Ferme Newfield,
JWK-BankUI-Amount,Amount,Montant,
JWK-BankUI-MoneyTransfer,Money transfer,Transfert d'argent,
JWK-BankUI-Perform,Perform,Exécuter,
JWK-BankUI-Recipient,Receiver,Récepteur,
JWK-BankUI-YourMoney,Your money,Votre argent,
JWK-BattleFallbackTitle,Battle,Bataille,
JWK-BattlePlayerLosing,Resistance is losing control...,La résistance perd le contrôle...,
JWK-BattleProgress,Battle in progress...,Bataille en cours...,
JWK-BuildItem-ArmoryFOB,Field armory,Armurerie de campagne,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Acheter des armes et des munitions.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Donne accès aux armes et munitions appartenant à la résistance. Les objets s'achètent à l'aide de fournitures.,
JWK-BuildItem-ArmoryMOB,Allied armory,Armurerie alliée,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Acheter des armes et des munitions.,
