Id,Source,Translation,Comment
JWK-Action-AbandonOwnership,Abandon ownership,所有権を放棄する,
JWK-Action-ClaimOwnership,Claim ownership,所有権を主張する,
JWK-Action-CollectDogtag,Collect dogtag,ドッグタグを集める,
JWK-Action-Disassembly,Disassemble,分解,
JWK-Action-EditSign,Edit sign,編集記号,
JWK-Action-EpinephrineInject,Inject epinephrine,エピネフリンを注射する,
JWK-Action-Lock,Lock,ロック,
JWK-Action-LockVehicle,Lock vehicle,ロック車,
JWK-Action-Locked,Locked,ロック,
JWK-Action-ManagePlayerGarage,Manage garage,ガレージ管理,
JWK-Action-PickLock,Pick lock,,
JWK-Action-PlayerRest,Rest,休憩,
JWK-Action-Recruit,Recruit,リクルート,
JWK-Action-RequiresLockpick,Requires lockpick.,,
JWK-Action-Shop,Shop,ショップ,
JWK-Action-StopCharacter,Stop,ストップ,
JWK-Action-TakeBus,Take bus,バスに乗る,
JWK-Action-TakeCommand,Take command,指揮を執る,
JWK-Action-TakeFerry,Take ferry,フェリーに乗る,
JWK-Action-Talk,Talk,トーク,
JWK-Action-Trade,Trade,貿易,
JWK-Action-Unlock,Unlock,ロック解除,
JWK-Action-UnlockVehicle,Unlock vehicle,車両のロック解除,
JWK-Action-UsePhone,Use phone,電話を使う,
JWK-ActionReason-NotEnoughMoney,Not enough money.,お金が足りない。,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,指揮官の限界に達した。,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,近くの遺体を片付ける,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,近くのアイテムを消去,
JWK-AdminUI-ForceSaveGame,Force save game,強制セーブゲーム,
JWK-AdminUI-OpenSettings,Open settings,オープン設定,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),,
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),,
JWK-AdminUI-Title,Admin menu,管理者メニュー,
JWK-AdminUI-WipeSaveData,Wipe save data,セーブデータの消去,
JWK-Arland-Airport,Airport,空港,
JWK-Arland-NewfieldFarm,Newfield Farm,ニューフィールド・ファーム,
JWK-BankUI-Amount,Amount,金額,
JWK-BankUI-MoneyTransfer,Money transfer,送金,
JWK-BankUI-Perform,Perform,出演,
JWK-BankUI-Recipient,Receiver,レシーバー,
JWK-BankUI-YourMoney,Your money,あなたのお金,
JWK-BattleFallbackTitle,Battle,バトル,
JWK-BattlePlayerLosing,Resistance is losing control...,レジスタンスはコントロールを失いつつある...。,
JWK-BattleProgress,Battle in progress...,バトル・イン・プログレス...,
JWK-BuildItem-ArmoryFOB,Field armory,フィールド兵器庫,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,武器と弾薬を買う。,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,レジスタンスの武器や弾薬を入手できる。アイテムは消耗品を使って購入する。,
JWK-BuildItem-ArmoryMOB,Allied armory,連合軍武器庫,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,武器と弾薬を買う。,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,味方の派閥が提供する武器や弾薬を入手できる。アイテムは消耗品を使用して購入する。,
JWK-BuildItem-Bunker,Bunker,バンカー,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,衛兵のための居心地の良い場所。,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,観測に適した場所に置く。,
JWK-BuildItem-CommandPost,Command post,司令部,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,現場に役員を配置する。,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,レジスタンスの役員を現場に立ち会わせる。,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,機材店,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,ウェアや用具を買う。,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,レジスタンスが所有するユニフォームやその他の備品にアクセスできる。アイテムは消耗品を使って購入する。,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,機材店,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,ウェアや用具を買う。,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,同盟ファクションが提供するユニフォームやその他の装備を入手できる。アイテムは消耗品を使用して購入する。,
JWK-BuildItem-FieldGarageMedium,Medium Garage,中型ガレージ,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,2台収納可能。,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.",迷子にならないように2台の地上車両を割り当て、遠方からの回収を可能にする。,
JWK-BuildItem-FieldGarageSmall,Small Garage,小さなガレージ,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,1台保管。,
