Id,Source,Translation,Comment,Modified
JWK-Action-AbandonOwnership,Abandon ownership,소유권을 포기하십시오,,03 Aug 2025 17:21:43 +0200
JWK-Action-ClaimOwnership,Claim ownership,소유권 청구,,03 Aug 2025 17:21:43 +0200
JWK-Action-CollectDogtag,Collect dogtag,Dogtag를 수집하십시오,,03 Aug 2025 17:21:43 +0200
JWK-Action-Disassembly,Disassemble,분해,,03 Aug 2025 17:21:43 +0200
JWK-Action-EditSign,Edit sign,표시를 편집하십시오,,03 Aug 2025 17:21:43 +0200
JWK-Action-EpinephrineInject,Inject epinephrine,에피네프린 주사,,03 Aug 2025 17:21:43 +0200
JWK-Action-Lock,Lock,잠그다,,03 Aug 2025 17:21:43 +0200
JWK-Action-LockVehicle,Lock vehicle,잠금 차량,,03 Aug 2025 17:21:43 +0200
JWK-Action-Locked,Locked,잠겨 있습니다,,03 Aug 2025 17:21:43 +0200
JWK-Action-ManagePlayerGarage,Manage garage,차고 관리,,03 Aug 2025 17:21:43 +0200
JWK-Action-PlayerRest,Rest,나머지,,03 Aug 2025 17:21:43 +0200
JWK-Action-Recruit,Recruit,모집,,03 Aug 2025 17:21:43 +0200
JWK-Action-Shop,Shop,가게,,03 Aug 2025 17:21:43 +0200
JWK-Action-StopCharacter,Stop,멈추다,,03 Aug 2025 17:21:43 +0200
JWK-Action-TakeBus,Take bus,버스를 타십시오,,03 Aug 2025 17:21:43 +0200
JWK-Action-TakeCommand,Take command,명령을 받으십시오,,03 Aug 2025 17:21:43 +0200
JWK-Action-TakeFerry,Take ferry,페리를 타십시오,,03 Aug 2025 17:21:43 +0200
JWK-Action-Talk,Talk,말하다,,03 Aug 2025 17:21:43 +0200
JWK-Action-Trade,Trade,거래,,03 Aug 2025 17:21:43 +0200
JWK-Action-Unlock,Unlock,터놓다,,03 Aug 2025 17:21:43 +0200
JWK-Action-UnlockVehicle,Unlock vehicle,차량 잠금 해제,,03 Aug 2025 17:21:43 +0200
JWK-Action-UsePhone,Use phone,전화를 사용하십시오,,03 Aug 2025 17:21:43 +0200
JWK-ActionReason-NotEnoughMoney,Not enough money.,돈이 충분하지 않습니다.,,03 Aug 2025 17:21:43 +0200
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,명령 한도에 도달했습니다.,,03 Aug 2025 17:21:43 +0200
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,근처의 시체를 깨끗하게하십시오,,03 Aug 2025 17:21:43 +0200
