Id,Source,Translation,Comment
JWK-Action-AbandonOwnership,Abandon ownership,Porzucenie własności,
JWK-Action-ClaimOwnership,Claim ownership,Roszczenie własności,
JWK-Action-CollectDogtag,Collect dogtag,Zbierz nieśmiertelnik,
JWK-Action-Disassembly,Disassemble,Demontaż,
JWK-Action-EditSign,Edit sign,Edytuj znak,
JWK-Action-EpinephrineInject,Inject epinephrine,Wstrzyknąć epinefrynę,
JWK-Action-Lock,Lock,Blokada,
JWK-Action-LockVehicle,Lock vehicle,Blokada pojazdu,
JWK-Action-Locked,Locked,Zablokowany,
JWK-Action-ManagePlayerGarage,Manage garage,Zarządzaj garażem,
JWK-Action-PickLock,Pick lock,,
JWK-Action-PlayerRest,Rest,Odpoczynek,
JWK-Action-Recruit,Recruit,Rekrut,
JWK-Action-RequiresLockpick,Requires lockpick.,,
JWK-Action-Shop,Shop,Sklep,
JWK-Action-StopCharacter,Stop,Zatrzymywać się,
JWK-Action-TakeBus,Take bus,Wejdź autobusem,
JWK-Action-TakeCommand,Take command,Przejąć dowództwo,
JWK-Action-TakeFerry,Take ferry,Weź prom,
JWK-Action-Talk,Talk,Rozmawiać,
JWK-Action-Trade,Trade,Handel,
JWK-Action-Unlock,Unlock,Odblokować,
JWK-Action-UnlockVehicle,Unlock vehicle,Odblokuj pojazd,
JWK-Action-UsePhone,Use phone,Użyj telefonu,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Za mało pieniędzy.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Osiągnięto limit dowodzenia.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Wyczyść pobliskie ciała,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Wyczyść pobliskie przedmioty,
JWK-AdminUI-ForceSaveGame,Force save game,Force Gra Save,
JWK-AdminUI-OpenSettings,Open settings,Otwórz ustawienia,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),,
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),,
JWK-AdminUI-Title,Admin menu,Menu administracyjne,
JWK-AdminUI-WipeSaveData,Wipe save data,Wyczyść zapisane dane,
JWK-Arland-Airport,Airport,Lotnisko,
JWK-Arland-NewfieldFarm,Newfield Farm,NEWFIELD FARM,
JWK-BankUI-Amount,Amount,Kwota,
JWK-BankUI-MoneyTransfer,Money transfer,Przelew pieniędzy,
JWK-BankUI-Perform,Perform,Dokonywać,
JWK-BankUI-Recipient,Receiver,Odbiornik,
JWK-BankUI-YourMoney,Your money,Twoje pieniądze,
JWK-BattleFallbackTitle,Battle,Bitwa,
JWK-BattlePlayerLosing,Resistance is losing control...,Opór tracą kontrolę ...,
JWK-BattleProgress,Battle in progress...,Bitwa w toku ...,
JWK-BuildItem-ArmoryFOB,Field armory,Zbrojownia polowa,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Kup broń i amunicję.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Daje dostęp do broni i amunicji należących do oporu. Przedmioty są kupowane przy użyciu materiałów eksploatacyjnych.,
JWK-BuildItem-ArmoryMOB,Allied armory,Zbrojownia aliancka,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Kup broń i amunicję.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,Daje dostęp do broni i amunicji dostarczanych przez frakcję sojuszniczą. Przedmioty są kupowane przy użyciu materiałów eksploatacyjnych.,
JWK-BuildItem-Bunker,Bunker,Bunkier,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Przytulne miejsce dla twoich wartowników.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Umieść go w dobrym miejscu obserwacyjnym.,
JWK-BuildItem-CommandPost,Command post,Post Post,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Mieć oficera na miejscu.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Zdobądź dostęp do oficera rezystancyjnego obecnego na miejscu.,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Sklep sprzętu,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Kup odzież i sprzęt.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,Daje dostęp do mundurek i innych urządzeń należących do oporu. Przedmioty są kupowane przy użyciu materiałów eksploatacyjnych.,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Sklep sprzętu,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Kup odzież i sprzęt.,
