Id,Source,Translation,Comment
JWK-Action-AbandonOwnership,Abandon ownership,Abandonar propriedade,
JWK-Action-ClaimOwnership,Claim ownership,Assumir propriedade,
JWK-Action-CollectDogtag,Collect dogtag,Pegar dogtag,
JWK-Action-Disassembly,Disassemble,Desmontar,
JWK-Action-EditSign,Edit sign,Editar placa,
JWK-Action-EpinephrineInject,Inject epinephrine,Injetar epinefrina,
JWK-Action-Lock,Lock,Trancar,
JWK-Action-LockVehicle,Lock vehicle,Trancar veículo,
JWK-Action-Locked,Locked,Trancado,
JWK-Action-ManagePlayerGarage,Manage garage,Gerenciar garagem,
JWK-Action-PickLock,Pick lock,,
JWK-Action-PlayerRest,Rest,Descansar,
JWK-Action-Recruit,Recruit,Recrutar,
JWK-Action-RequiresLockpick,Requires lockpick.,,
JWK-Action-Shop,Shop,Loja,
JWK-Action-StopCharacter,Stop,Parar,
JWK-Action-TakeBus,Take bus,Pegar ônibus,
JWK-Action-TakeCommand,Take command,Assumir comando,
JWK-Action-TakeFerry,Take ferry,Pegar balsa,
JWK-Action-Talk,Talk,Conversar,
JWK-Action-Trade,Trade,Trocar,
JWK-Action-Unlock,Unlock,Destrancar,
JWK-Action-UnlockVehicle,Unlock vehicle,Destrancar veículo,
JWK-Action-UsePhone,Use phone,Usar telefone,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Dinheiro insuficiente.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Limite de comando atingido.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Limpar corpos próximos,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Limpar itens próximos,
JWK-AdminUI-ForceSaveGame,Force save game,Forçar salvar jogo,
JWK-AdminUI-OpenSettings,Open settings,Abrir configurações,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),,
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),,
JWK-AdminUI-Title,Admin menu,Menu de administrador,
JWK-AdminUI-WipeSaveData,Wipe save data,Apagar dados salvos,
JWK-Arland-Airport,Airport,Aeroporto,
JWK-Arland-NewfieldFarm,Newfield Farm,Fazenda Newfield,
JWK-BankUI-Amount,Amount,Quantia,
JWK-BankUI-MoneyTransfer,Money transfer,Transferência de dinheiro,
JWK-BankUI-Perform,Perform,Executar,
JWK-BankUI-Recipient,Receiver,Destinatário,
JWK-BankUI-YourMoney,Your money,Seu dinheiro,
JWK-BattleFallbackTitle,Battle,Batalha,
JWK-BattlePlayerLosing,Resistance is losing control...,A resistência está perdendo o controle...,
JWK-BattleProgress,Battle in progress...,Batalha em andamento...,
JWK-BuildItem-ArmoryFOB,Field armory,Arsenal de campo,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Comprar armas e munição.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Dá acesso a armas e munições pertencentes à resistência. Itens são adquiridos usando suprimentos.,
JWK-BuildItem-ArmoryMOB,Allied armory,Arsenal aliado,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Comprar armas e munição.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,Dá acesso a armas e munições fornecidas pela facção aliada. Itens são adquiridos usando suprimentos.,
JWK-BuildItem-Bunker,Bunker,Bunker,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Lugar aconchegante para suas sentinelas.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Coloque em um bom ponto de observação.,
JWK-BuildItem-CommandPost,Command post,Posto de comando,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Tenha um oficial no local.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Permite a presença de um oficial da resistência no local.,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Loja de equipamentos,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Comprar roupas e equipamentos.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,Dá acesso a uniformes e outros equipamentos pertencentes à resistência. Itens são adquiridos usando suprimentos.,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Loja de equipamentos,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Comprar roupas e equipamentos.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,Dá acesso a uniformes e outros equipamentos fornecidos pela facção aliada. Itens são adquiridos usando suprimentos.,
JWK-BuildItem-FieldGarageMedium,Medium Garage,Garagem média,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,Armazena 2 veículos.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.",Permite atribuir dois veículos terrestres para evitar que sejam perdidos e possibilita recuperá-los de longe.,
JWK-BuildItem-FieldGarageSmall,Small Garage,Garagem pequena,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,Armazena 1 veículo.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.",Permite atribuir um veículo terrestre para evitar que seja perdido e possibilita recuperá-lo de longe.,
JWK-BuildItem-FiringPosition,Firing position,Posição de tiro,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Prepare-se para visitantes indesejados.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Composição básica de defesa.,
JWK-BuildItem-FuelPoint,Fuel point,Ponto de abastecimento,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Abasteça veículos.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,Permite abastecer veículos terrestres.,
JWK-BuildItem-GuardTower,Guard tower,Torre de proteção,
JWK-BuildItem-GuardTower_Description,Get a better view.,Obter uma vista melhor.,
JWK-BuildItem-Helipad,Helipad,Heliponto,
JWK-BuildItem-HelipadRepair,Service Helipad,Heliponto de serviço,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Reparar helicópteros.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,O heliponto de serviço permite atribuir um único helicóptero e possibilita abastecimento e reparo. Só pode ser construído em bases aéreas.,
