Id,Source,Translation,Comment
JWK-Action-AbandonOwnership,Abandon ownership,Отказаться от собственности,
JWK-Action-ClaimOwnership,Claim ownership,Заявить о праве собственности,
JWK-Action-CollectDogtag,Collect dogtag,Собрать жетон,
JWK-Action-Disassembly,Disassemble,Разобрать,
JWK-Action-EditSign,Edit sign,Редактировать знак,
JWK-Action-EpinephrineInject,Inject epinephrine,Ввести эпинефрин,
JWK-Action-Lock,Lock,Заблокировать,
JWK-Action-LockVehicle,Lock vehicle,Заблокировать транспорт,
JWK-Action-Locked,Locked,Заблокировано,
JWK-Action-ManagePlayerGarage,Manage garage,Управлять гаражом,
JWK-Action-PickLock,Pick lock,Взломать замок,
JWK-Action-PlayerRest,Rest,Отдохнуть,
JWK-Action-Recruit,Recruit,Вербовать,
JWK-Action-RequiresLockpick,Requires lockpick.,Требуется отмычка,
JWK-Action-Shop,Shop,Магазин,
JWK-Action-StopCharacter,Stop,Остановить,
JWK-Action-TakeBus,Take bus,Сесть на автобус,
JWK-Action-TakeCommand,Take command,Принять командование,
JWK-Action-TakeFerry,Take ferry,Сесть на паром,
JWK-Action-Talk,Talk,Поговорить,
JWK-Action-Trade,Trade,Торговать,
JWK-Action-Unlock,Unlock,Разблокировать,
JWK-Action-UnlockVehicle,Unlock vehicle,Разблокировать транспорт,
JWK-Action-UsePhone,Use phone,Позвонить,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Не хватает денег.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Достигнут лимит подчиненных.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Очистить близлежащие тела,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Очистить близлежащие предметы,
JWK-AdminUI-ForceSaveGame,Force save game,Принудительно сохранить игру,
JWK-AdminUI-OpenSettings,Open settings,Открыть настройки,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Откатить разрушения (глобально),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Откатить разрушения (ближайшие),
JWK-AdminUI-Title,Admin menu,Меню администратора,
JWK-AdminUI-WipeSaveData,Wipe save data,Стереть данные сохранения,
JWK-Arland-Airport,Airport,Аэропорт,
JWK-Arland-NewfieldFarm,Newfield Farm,Ферма Newfield,
JWK-BankUI-Amount,Amount,Сумма,
JWK-BankUI-MoneyTransfer,Money transfer,Денежный перевод,
JWK-BankUI-Perform,Perform,Выполнить,
JWK-BankUI-Recipient,Receiver,Получатель,
JWK-BankUI-YourMoney,Your money,Ваши деньги,
JWK-BattleFallbackTitle,Battle,Битва,
JWK-BattlePlayerLosing,Resistance is losing control...,Сопротивление теряет контроль...,
JWK-BattleProgress,Battle in progress...,Битва в процессе...,
JWK-BuildItem-ArmoryFOB,Field armory,Полевой арсенал,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Купить оружие и боеприпасы.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,"Дает доступ к оружию и боеприпасам, принадлежащим сопротивлению. Предметы приобретаются с помощью припасов.",
JWK-BuildItem-ArmoryMOB,Allied armory,Арсенал союзников,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Купить оружие и боеприпасы.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,"Дает доступ к оружию и боеприпасам, предоставляемым союзной фракцией. Предметы приобретаются с помощью припасов.",
JWK-BuildItem-Bunker,Bunker,Бункер,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Уютное место для ваших дозорных.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Разместите в хорошем месте для наблюдения.,
JWK-BuildItem-CommandPost,Command post,Командный пункт,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Иметь офицера на месте.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Содержать офицера сопротивления на базе,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Магазин оборудования,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Купить одежду и снаряжение.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,"Дает доступ к униформе и другому снаряжению, принадлежащему сопротивлению. Предметы приобретаются с помощью припасов.",
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Магазин оборудования,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Покупать одежду и снаряжение.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,"Дает доступ к униформе и другому снаряжению, предоставляемому союзной фракцией. Предметы приобретаются с помощью припасов.",
JWK-BuildItem-FieldGarageMedium,Medium Garage,Средний гараж,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,Хранить до двух транспортных средств.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.","Позволяет назначить два наземных транспортных средства, чтобы предотвратить их потерю и вернуть их на большом расстоянии.",
JWK-BuildItem-FieldGarageSmall,Small Garage,Небольшой гараж,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,Хранить одно транспортное средство.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.","Позволяет назначить одно наземное транспортное средство, чтобы предотвратить его потерю и вернуть его на большом расстоянии.",
JWK-BuildItem-FiringPosition,Firing position,Положение для стрельбы,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Подготовиться к встрече незваных гостей.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Базовая оборонительная позиция.,
JWK-BuildItem-FuelPoint,Fuel point,Пункт дозаправки,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Заправить транспортное средство.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,Позволяет заправлять наземные транспортные средства.,
JWK-BuildItem-GuardTower,Guard tower,Охранная башня,
JWK-BuildItem-GuardTower_Description,Get a better view.,Для лучшего обзора.,
JWK-BuildItem-Helipad,Helipad,Вертолетная площадка,
JWK-BuildItem-HelipadRepair,Service Helipad,Служебная вертолетная площадка,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Для ремонта вертолета.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,Служебная вертолетная площадка позволяет назначить один вертолет и обеспечивает его дозаправку и ремонт. Может быть размещён только на авиабазах.,
JWK-BuildItem-Helipad_Description,Store single helicopter.,Хранить один вертолет.,
