Id,Source,Translation,Comment
JWK-Action-AbandonOwnership,Abandon ownership,Полишити,
JWK-Action-ClaimOwnership,Claim ownership,Привласнити,
JWK-Action-CollectDogtag,Collect dogtag,Забрати жетон,
JWK-Action-Disassembly,Disassemble,Розібрати,
JWK-Action-EditSign,Edit sign,Редагувати знак,
JWK-Action-EpinephrineInject,Inject epinephrine,Ввести епінефрин,
JWK-Action-Lock,Lock,Замкнути,
JWK-Action-LockVehicle,Lock vehicle,Замкнути техніку,
JWK-Action-Locked,Locked,Замкнено,
JWK-Action-ManagePlayerGarage,Manage garage,Керувати гаражем,
JWK-Action-PickLock,Pick lock,Відкрити відмичкою,
JWK-Action-PlayerRest,Rest,Відпочити,
JWK-Action-Recruit,Recruit,Завербувати,
JWK-Action-RequiresLockpick,Requires lockpick.,Потрібна відмичка.,
JWK-Action-Shop,Shop,Магазин,
JWK-Action-StopCharacter,Stop,Зупинити,
JWK-Action-TakeBus,Take bus,Сісти в автобус,
JWK-Action-TakeCommand,Take command,Командувати,
JWK-Action-TakeFerry,Take ferry,Сісти на пором,
JWK-Action-Talk,Talk,Говорити,
JWK-Action-Trade,Trade,Торгувати,
JWK-Action-Unlock,Unlock,Відімкнути,
JWK-Action-UnlockVehicle,Unlock vehicle,Відімкнути техніку,
JWK-Action-UsePhone,Use phone,Скористатись телефоном,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Недостатньо грошей.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Забагато підлеглих.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Прибрати тіла поблизу,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Прибрати предмети поблизу,
JWK-AdminUI-ForceSaveGame,Force save game,Примусово зберегти гру,
JWK-AdminUI-OpenSettings,Open settings,Відкрити налаштування,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Скинути руйнування (глобально),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Скинути руйнування (поблизу),
JWK-AdminUI-Title,Admin menu,Меню адміністратора,
JWK-AdminUI-WipeSaveData,Wipe save data,Очистити збереження,
JWK-Arland-Airport,Airport,Аеропорт,
JWK-Arland-NewfieldFarm,Newfield Farm,Ферма Ньюфілд,
JWK-BankUI-Amount,Amount,Сума,
JWK-BankUI-MoneyTransfer,Money transfer,Переказ коштів,
JWK-BankUI-Perform,Perform,Виконати,
JWK-BankUI-Recipient,Receiver,Отримувач,
JWK-BankUI-YourMoney,Your money,Ваші кошти,
JWK-BattleFallbackTitle,Battle,Битва,
JWK-BattlePlayerLosing,Resistance is losing control...,Опір втрачає контроль...,
JWK-BattleProgress,Battle in progress...,Битва в розпалі...,
JWK-BuildItem-ArmoryFOB,Field armory,Польовий арсенал,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Купівля зброї та боєприпасів.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Надає доступ до зброї та боєприпасів опору. Предмети купуються за припаси.,
JWK-BuildItem-ArmoryMOB,Allied armory,Союзницький арсенал,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Купівля зброї та боєприпасів.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,Надає доступ до зброї та боєприпасів союзної фракції. Предмети купуються за припаси.,
JWK-BuildItem-Bunker,Bunker,Бункер,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Комфортне місце для вартових.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Обирайте місце для встановлення з розумом.,
JWK-BuildItem-CommandPost,Command post,Командний пункт,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Доступ до офіцера опору.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Отримайте доступ до офіцера опору на місці.,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Магазин спорядження,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Купівля одягу та спорядження.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,Надає доступ до уніформ та іншого спорядження опору. Предмети купуються за припаси.,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Магазин спорядження,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Купівля одягу та спорядження.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,Надає доступ до уніформ та іншого спорядження союзної фракції. Предмети купуються за припаси.,
JWK-BuildItem-FieldGarageMedium,Medium Garage,Середній гараж,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,2 транспортних засоби.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.",Дозволяє зберігати та повертати до гаража два наземних транспортних засоби.,
JWK-BuildItem-FieldGarageSmall,Small Garage,Малий гараж,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,1 транспортний засіб.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.",Дозволяє зберігати та повертати до гаража один наземний транспортний засіб.,
JWK-BuildItem-FiringPosition,Firing position,Вогнева позиція,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Підготуйтеся до небажаних гостей.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Найпростіша оборонна конструкція.,
JWK-BuildItem-FuelPoint,Fuel point,АЗС,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Заправка транспорту.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,Дозволяє заправляти наземний транспорт.,
JWK-BuildItem-GuardTower,Guard tower,Спостережна вежа,
JWK-BuildItem-GuardTower_Description,Get a better view.,"Залізь повище, дивись подалі.",
JWK-BuildItem-Helipad,Helipad,Вертолітний майданчик,
JWK-BuildItem-HelipadRepair,Service Helipad,Сервісний вертолітний майданчик,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Ремонт вертольотів.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,"Сервісний вертолітний майданчик дозволяє зберігати, заправляти і ремонтувати один вертоліт. Може будуватися тільки на аеродромах.",
JWK-BuildItem-Helipad_Description,Store single helicopter.,Зберігання одного вертольота.,
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.","Вертолітний майданчик дозволяє призначити один вертоліт, що захищає його від втрати та дає можливість забрати його здалеку. Базова версія без можливостей заправки чи ремонту.",
JWK-BuildItem-LivingArea,Living area,Житлова зона,
JWK-BuildItem-LivingArea_Description,Shelter recruits.,Житло для рекрутів.,
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,Забезпечує житловий простір для кількох потенційних рекрутів.,
JWK-BuildItem-MedicalTent,Medical tent,Медичний намет,
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,Лікування ран і пришвидшення відновлення.,
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,Медичний намет поліпшує відновлення після поранень та дозволяє купувати медичні товари за припаси.,
JWK-BuildItem-Mortar,Mortar,Міномет,
JWK-BuildItem-Mortar_Description,Send a message over long distance.,Відправка підарунків на велику відстань.,
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,Повна мінометна установка. Снаряди можна купити за припаси.,
JWK-BuildItem-StorageSmall,Small supplies storage,Малий склад припасів,
JWK-BuildItem-StorageSmall-Description,Store 900 supplies.,Зберігання 900 одиниць припасів.,
JWK-BuildItem-StorageSmall-DescriptionLong,Allows to store 900 supplies. First one can be constructed for free.,Дозволяє зберігати 900 одиниць припасів. Перший склад будується безкоштовно.,
JWK-BuildItem-VehicleRamp,Vehicle maintenance ramp,Ремонтна естакада,
JWK-BuildItem-VehicleRamp_Description,Repair vehicles.,Ремонт транспорту.,
JWK-BuildItem-VehicleRamp_DescriptionLong,,Дозволяє ремонтувати наземні транспортні засоби.,
JWK-BuildUI-Cost,Cost:,Вартість:,
JWK-BuildUI-Title,Build,Будівництво,
JWK-CTA-ConstructionMenu,Construction menu,Меню будівництва,
JWK-CTA-HideoutResupply,Resupply hideout,Поповнити схрон,
JWK-CTA-HideoutTakeSupplies,Take hideout supplies,Взяти припаси схрону,
JWK-CTA-ManageVehicles,Manage vehicles,Керування транспортом,
JWK-CTA-OpenMenu,Freedom Fighters,Freedom Fighters,
JWK-CTA-ParkVehicle,Park vehicle,Припаркувати транспорт,
JWK-CTA-Radio,Use radio,Скористатись радіо,
JWK-CTA-TimeToWithstand,Withstand in...,Витримати...,
JWK-CTA-TownDonateSupplies,Donate supplies to civilians,Пожертвувати припаси цивільним,
JWK-CharacterMenu,Character Menu,Меню персонажа,
JWK-CharacterUI-Age,Age,Вік,
JWK-CharacterUI-Birthday,Birthday,День народження,
JWK-CharacterUI-Birthplace,Birthplace,Місце народження,
JWK-CharacterUI-BloodType,Blood type,Група крові,
JWK-CharacterUI-CharacterWanted,Wanted dead or alive.,Розшукується живим чи мертвим.,
JWK-CharacterUI-Title,Profile,Профіль,
JWK-CharacterUI-VehicleWanted,Uses a wanted vehicle.,Використовує розшукуваний транспорт.,
JWK-ConsoleUI-BackToMenu,Back to menu,Назад до меню,
JWK-ConsoleUI-Text,"Due to missing modding features, the single player and local hosting experience is unavailable on console systems. We suggest setting up a private dedicated server or joining a public one.","Через обмеження моддінгу, однокористувацька гра та локальний хостинг недоступні на консолях. Радимо налаштувати приватний виділений сервер або приєднатися до публічного.",
JWK-ConsoleUI-Title,Unavailable on consoles,Недоступно на консолях,
JWK-ConvoAction-Convert,Convince to support,Завербувати,
JWK-ConvoAction-Extort,Extort money,Вимагати гроші,
JWK-ConvoChoice-AskHideoutLocation,Ask for a meeting,Попросити про зустріч,
JWK-ConvoChoice-AskJob,Ask for a job,Узяти роботу,
JWK-ConvoChoice-Confirm,Confirm,Підтвердити,
JWK-ConvoChoice-GetPoster,Ask for posters,Узяти плакати,
JWK-ConvoChoice-ReportBack,Report back,Звітувати,
JWK-ConvoChoice-ReportResistance,Report resistance activity,Повідомити про повстанців,
JWK-ConvoChoice-RequestReinforcements,Reinforcements,Підкріплення,
JWK-ConvoChoice-RequestSupport,Request support,Запросити підтримку,
JWK-ConvoChoice-ResignJob,Resign from a job,Відмовитися від роботи,
JWK-ConvoChoice-Trade,Trade,Торгувати,
JWK-ConvoChoice-TurnDogtags,Turn in dogtags,Здати жетони,
JWK-DialogUI-DestructionResetInfo-Message,"Restored objects may collide with constructions or vehicles left in place of destroyed objects, causing undesired effects. This is an experimental feature and it is recommended to back up your save.<br/><br/>Once you confirm this action, you have to force save and restart the server for the changes to take effect.","Відновлені об'єкти та будівлі можуть конфліктувати з конструкціями або транспортом біля них, що може мати небажані наслідки. Це експериментальна функція, тому перед використанням рекомендується створити резервну копію.<br/><br/>Після підтвердження, вам потрібно примусово зберегти дані і перезапустити сервер.",
JWK-DialogUI-DestructionResetInfo-Title,Destruction reset,Скидання руйнувань,
JWK-DialogUI-OnlineForceSave-Message,"Forced save will perform entire save in a single operation, which may block the server on large maps and with a lot of data. This may cause remote players, including you, to lose connection. This does not affect the save operation itself.","Примусове збереження даних може підвісити сервер на великих мапах з великою кількістю об'єктів. Можлива також втрата з'єднання з гравцями, включно з вами. Але це не вплине на саму операцію збереження.",
JWK-DialogUI-OnlineForceSave-Title,Online session warning,Попередження онлайн сесії,
